"cluster","group","n_cells","resolution","field","within_cluster_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag"
"0","CNP0000460",50,0.4,"dataset",0.00913408841797589,0.0414487447698745,0.220370688393311,FALSE
"1","CNP0000460",224,0.4,"dataset",0.0834264432029795,0.0414487447698745,2.01276163285927,FALSE
"2","CNP0000460",0,0.4,"dataset",0,0.0414487447698745,0,FALSE
"3","CNP0000460",155,0.4,"dataset",0.113886847905952,0.0414487447698745,2.74765492992024,FALSE
"4","CNP0000460",69,0.4,"dataset",0.055735056542811,0.0414487447698745,1.34467417173318,FALSE
"5","CNP0000460",44,0.4,"dataset",0.0370682392586352,0.0414487447698745,0.894315122555338,FALSE
"6","CNP0000460",29,0.4,"dataset",0.0296827021494371,0.0414487447698745,0.716130302961812,FALSE
"7","CNP0000460",43,0.4,"dataset",0.0953436807095344,0.0414487447698745,2.30027908538334,FALSE
"8","CNP0000460",9,0.4,"dataset",0.042654028436019,0.0414487447698745,1.02907889425449,FALSE
"9","CNP0000460",7,0.4,"dataset",0.0507246376811594,0.0414487447698745,1.22379188954419,FALSE
"10","CNP0000460",4,0.4,"dataset",0.0336134453781513,0.0414487447698745,0.810964133287384,FALSE
"0","GSE326225",5,0.4,"dataset",0.000913408841797589,0.0219011506276151,0.0417059750571221,FALSE
"1","GSE326225",100,0.4,"dataset",0.037243947858473,0.0219011506276151,1.7005475416215,FALSE
"2","GSE326225",61,0.4,"dataset",0.0419243986254296,0.0219011506276151,1.91425552649126,FALSE
"3","GSE326225",53,0.4,"dataset",0.0389419544452608,0.0219011506276151,1.7780780155066,FALSE
"4","GSE326225",67,0.4,"dataset",0.0541195476575121,0.0219011506276151,2.47108239095315,FALSE
"5","GSE326225",6,0.4,"dataset",0.0050547598989048,0.0219011506276151,0.230798828100441,FALSE
"6","GSE326225",27,0.4,"dataset",0.0276356192425793,0.0219011506276151,1.26183412517759,FALSE
"7","GSE326225",0,0.4,"dataset",0,0.0219011506276151,0,FALSE
"8","GSE326225",8,0.4,"dataset",0.037914691943128,0.0219011506276151,1.73117351630473,FALSE
"9","GSE326225",8,0.4,"dataset",0.0579710144927536,0.0219011506276151,2.64693921695868,FALSE
"10","GSE326225",0,0.4,"dataset",0,0.0219011506276151,0,FALSE
"0","HRA003620",366,0.4,"dataset",0.0668615272195835,0.0460251046025105,1.45271863686186,FALSE
"1","HRA003620",17,0.4,"dataset",0.00633147113594041,0.0460251046025105,0.137565600135433,FALSE
"2","HRA003620",0,0.4,"dataset",0,0.0460251046025105,0,FALSE
"3","HRA003620",6,0.4,"dataset",0.00440852314474651,0.0460251046025105,0.0957851846904014,FALSE
"4","HRA003620",95,0.4,"dataset",0.0767366720516963,0.0460251046025105,1.66727860185049,FALSE
"5","HRA003620",5,0.4,"dataset",0.004212299915754,0.0460251046025105,0.0915217890786551,FALSE
"6","HRA003620",94,0.4,"dataset",0.0962128966223132,0.0460251046025105,2.0904438447939,FALSE
"7","HRA003620",106,0.4,"dataset",0.235033259423503,0.0460251046025105,5.1066317274743,FALSE
"8","HRA003620",3,0.4,"dataset",0.014218009478673,0.0460251046025105,0.308918569582077,FALSE
"9","HRA003620",11,0.4,"dataset",0.0797101449275362,0.0460251046025105,1.73188405797101,FALSE
"10","HRA003620",1,0.4,"dataset",0.00840336134453781,0.0460251046025105,0.182582123758594,FALSE
"0","InhouseData",0,0.4,"dataset",0,0.128661087866109,0,FALSE
"1","InhouseData",235,0.4,"dataset",0.0875232774674116,0.128661087866109,0.68026222161663,FALSE
"2","InhouseData",1389,0.4,"dataset",0.954639175257732,0.128661087866109,7.41979716704384,FALSE
"3","InhouseData",120,0.4,"dataset",0.0881704628949302,0.128661087866109,0.685292378272791,FALSE
"4","InhouseData",30,0.4,"dataset",0.024232633279483,0.128661087866109,0.188344694432405,FALSE
"5","InhouseData",18,0.4,"dataset",0.0151642796967144,0.128661087866109,0.117862206423244,FALSE
"6","InhouseData",48,0.4,"dataset",0.0491299897645855,0.128661087866109,0.381855855406046,FALSE
"7","InhouseData",109,0.4,"dataset",0.241685144124169,0.128661087866109,1.87846339660736,FALSE
"8","InhouseData",15,0.4,"dataset",0.0710900473933649,0.128661087866109,0.552537278927292,FALSE
"9","InhouseData",4,0.4,"dataset",0.0289855072463768,0.128661087866109,0.225285731118181,FALSE
"10","InhouseData",0,0.4,"dataset",0,0.128661087866109,0,FALSE
"0","PRJNA662018",5053,0.4,"dataset",0.923090975520643,0.761963912133891,1.21146285384502,FALSE
"1","PRJNA662018",2109,0.4,"dataset",0.785474860335196,0.761963912133891,1.03085572404008,FALSE
"2","PRJNA662018",5,0.4,"dataset",0.00343642611683849,0.761963912133891,0.00450995914913441,FALSE
"3","PRJNA662018",1027,0.4,"dataset",0.754592211609111,0.761963912133891,0.990325394146114,FALSE
"4","PRJNA662018",977,0.4,"dataset",0.789176090468498,0.761963912133891,1.03571321148058,FALSE
"5","PRJNA662018",1114,0.4,"dataset",0.938500421229992,0.761963912133891,1.23168618130707,FALSE
"6","PRJNA662018",779,0.4,"dataset",0.797338792221085,0.761963912133891,1.04642592585274,FALSE
"7","PRJNA662018",193,0.4,"dataset",0.427937915742794,0.761963912133891,0.561624912844425,FALSE
"8","PRJNA662018",176,0.4,"dataset",0.834123222748815,0.761963912133891,1.09470174304298,FALSE
"9","PRJNA662018",108,0.4,"dataset",0.782608695652174,0.761963912133891,1.02709417492026,FALSE
"10","PRJNA662018",114,0.4,"dataset",0.957983193277311,0.761963912133891,1.25725533456626,FALSE
"0","CNP0000460",10,0.8,"dataset",0.00527148128624143,0.0414487447698745,0.127180722010014,FALSE
"1","CNP0000460",11,0.8,"dataset",0.00590128755364807,0.0414487447698745,0.142375543250159,FALSE
"2","CNP0000460",152,0.8,"dataset",0.101672240802676,0.0414487447698745,2.45296308409736,FALSE
"3","CNP0000460",27,0.8,"dataset",0.0182679296346414,0.0414487447698745,0.440735412762579,FALSE
"4","CNP0000460",156,0.8,"dataset",0.114537444933921,0.0414487447698745,2.76335135285371,FALSE
"5","CNP0000460",70,0.8,"dataset",0.0595744680851064,0.0414487447698745,1.43730451708168,FALSE
"6","CNP0000460",0,0.8,"dataset",0,0.0414487447698745,0,FALSE
"7","CNP0000460",29,0.8,"dataset",0.0293522267206478,0.0414487447698745,0.708157192301306,FALSE
"8","CNP0000460",54,0.8,"dataset",0.0598006644518272,0.0414487447698745,1.44276177201128,FALSE
"9","CNP0000460",21,0.8,"dataset",0.0247058823529412,0.0414487447698745,0.596058637966227,FALSE
"10","CNP0000460",43,0.8,"dataset",0.0953436807095344,0.0414487447698745,2.30027908538334,FALSE
"11","CNP0000460",18,0.8,"dataset",0.0424528301886792,0.0414487447698745,1.02422474852687,FALSE
"12","CNP0000460",0,0.8,"dataset",0,0.0414487447698745,0,FALSE
"13","CNP0000460",15,0.8,"dataset",0.0446428571428571,0.0414487447698745,1.07706173952231,FALSE
"14","CNP0000460",9,0.8,"dataset",0.0424528301886792,0.0414487447698745,1.02422474852687,FALSE
"15","CNP0000460",8,0.8,"dataset",0.0551724137931034,0.0414487447698745,1.33109974980964,FALSE
"16","CNP0000460",7,0.8,"dataset",0.0507246376811594,0.0414487447698745,1.22379188954419,FALSE
"17","CNP0000460",4,0.8,"dataset",0.0338983050847458,0.0414487447698745,0.817836710688125,FALSE
"0","GSE326225",0,0.8,"dataset",0,0.0219011506276151,0,FALSE
"1","GSE326225",0,0.8,"dataset",0,0.0219011506276151,0,FALSE
"2","GSE326225",68,0.8,"dataset",0.0454849498327759,0.0219011506276151,2.07682923176758,FALSE
"3","GSE326225",5,0.8,"dataset",0.003382949932341,0.0219011506276151,0.154464484074889,FALSE
"4","GSE326225",52,0.8,"dataset",0.0381791483113069,0.0219011506276151,1.74324851513358,FALSE
"5","GSE326225",32,0.8,"dataset",0.0272340425531915,0.0219011506276151,1.24349825341378,FALSE
"6","GSE326225",37,0.8,"dataset",0.0354745925215724,0.0219011506276151,1.61975930510439,FALSE
"7","GSE326225",27,0.8,"dataset",0.0273279352226721,0.0219011506276151,1.2477853646746,FALSE
"8","GSE326225",52,0.8,"dataset",0.0575858250276855,0.0219011506276151,2.6293515809656,FALSE
"9","GSE326225",0,0.8,"dataset",0,0.0219011506276151,0,FALSE
"10","GSE326225",0,0.8,"dataset",0,0.0219011506276151,0,FALSE
"11","GSE326225",5,0.8,"dataset",0.0117924528301887,0.0219011506276151,0.538439876091242,FALSE
"12","GSE326225",24,0.8,"dataset",0.0575539568345324,0.0219011506276151,2.62789648877913,FALSE
"13","GSE326225",16,0.8,"dataset",0.0476190476190476,0.0219011506276151,2.17427149964463,FALSE
"14","GSE326225",8,0.8,"dataset",0.0377358490566038,0.0219011506276151,1.72300760349197,FALSE
"15","GSE326225",1,0.8,"dataset",0.00689655172413793,0.0219011506276151,0.314894493051981,FALSE
"16","GSE326225",8,0.8,"dataset",0.0579710144927536,0.0219011506276151,2.64693921695868,FALSE
"17","GSE326225",0,0.8,"dataset",0,0.0219011506276151,0,FALSE
"0","HRA003620",159,0.8,"dataset",0.0838165524512388,0.0460251046025105,1.82110509416782,FALSE
"1","HRA003620",52,0.8,"dataset",0.0278969957081545,0.0460251046025105,0.60612563402263,FALSE
"2","HRA003620",13,0.8,"dataset",0.00869565217391304,0.0460251046025105,0.188932806324111,FALSE
"3","HRA003620",149,0.8,"dataset",0.100811907983762,0.0460251046025105,2.19036781891992,FALSE
"4","HRA003620",6,0.8,"dataset",0.00440528634361234,0.0460251046025105,0.0957148578293953,FALSE
"5","HRA003620",4,0.8,"dataset",0.00340425531914894,0.0460251046025105,0.0739651837524178,FALSE
"6","HRA003620",0,0.8,"dataset",0,0.0460251046025105,0,FALSE
"7","HRA003620",94,0.8,"dataset",0.0951417004048583,0.0460251046025105,2.06716967243283,FALSE
"8","HRA003620",52,0.8,"dataset",0.0575858250276855,0.0460251046025105,1.25118292560153,FALSE
"9","HRA003620",9,0.8,"dataset",0.0105882352941176,0.0460251046025105,0.230053475935829,FALSE
"10","HRA003620",106,0.8,"dataset",0.235033259423503,0.0460251046025105,5.1066317274743,FALSE
"11","HRA003620",0,0.8,"dataset",0,0.0460251046025105,0,FALSE
"12","HRA003620",0,0.8,"dataset",0,0.0460251046025105,0,FALSE
"13","HRA003620",42,0.8,"dataset",0.125,0.0460251046025105,2.71590909090909,FALSE
"14","HRA003620",3,0.8,"dataset",0.0141509433962264,0.0460251046025105,0.30746140651801,FALSE
"15","HRA003620",3,0.8,"dataset",0.0206896551724138,0.0460251046025105,0.449529780564263,FALSE
"16","HRA003620",11,0.8,"dataset",0.0797101449275362,0.0460251046025105,1.73188405797101,FALSE
"17","HRA003620",1,0.8,"dataset",0.00847457627118644,0.0460251046025105,0.184129429892142,FALSE
"0","InhouseData",0,0.8,"dataset",0,0.128661087866109,0,FALSE
"1","InhouseData",0,0.8,"dataset",0,0.128661087866109,0,FALSE
"2","InhouseData",213,0.8,"dataset",0.14247491638796,0.128661087866109,1.10736601680398,FALSE
"3","InhouseData",0,0.8,"dataset",0,0.128661087866109,0,FALSE
"4","InhouseData",119,0.8,"dataset",0.0873715124816446,0.128661087866109,0.679082649857336,FALSE
"5","InhouseData",15,0.8,"dataset",0.0127659574468085,0.128661087866109,0.0992215879605605,FALSE
"6","InhouseData",1000,0.8,"dataset",0.958772770853308,0.128661087866109,7.45192495069726,FALSE
"7","InhouseData",52,0.8,"dataset",0.0526315789473684,0.128661087866109,0.409071459135644,FALSE
"8","InhouseData",25,0.8,"dataset",0.0276854928017719,0.128661087866109,0.215181553808894,FALSE
"9","InhouseData",0,0.8,"dataset",0,0.128661087866109,0,FALSE
"10","InhouseData",109,0.8,"dataset",0.241685144124169,0.128661087866109,1.87846339660736,FALSE
"11","InhouseData",17,0.8,"dataset",0.0400943396226415,0.128661087866109,0.311627550237767,FALSE
"12","InhouseData",393,0.8,"dataset",0.942446043165468,0.128661087866109,7.32502778265193,FALSE
"13","InhouseData",5,0.8,"dataset",0.0148809523809524,0.128661087866109,0.11566008517228,FALSE
